step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,peft_single,0.497591,0.360618,0.273946,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-06,1.7116
1,peft_single,0.497739,0.362557,0.270365,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-06,1.6841
2,peft_single,0.495984,0.359587,0.272794,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-06,1.4653
3,peft_single,0.491853,0.355241,0.273225,0.000000,0.000000,0.000000,0.000000,0.000000,5.81e-06,1.6846
4,peft_single,0.498692,0.361924,0.273535,0.000000,0.000000,0.000000,0.000000,0.000000,6.98e-06,1.4356
5,peft_single,0.503824,0.366247,0.275154,0.000000,0.000000,0.000000,0.000000,0.000000,8.14e-06,1.6191
6,peft_single,0.506113,0.367481,0.277264,0.000000,0.000000,0.000000,0.000000,0.000000,9.30e-06,1.3967
7,peft_single,0.497896,0.361003,0.273785,0.000000,0.000000,0.000000,0.000000,0.000000,1.05e-05,1.1102
8,peft_single,0.491223,0.357391,0.267664,0.000000,0.000000,0.000000,0.000000,0.000000,1.16e-05,0.9893
9,peft_single,0.487127,0.355479,0.263296,0.000000,0.000000,0.000000,0.000000,0.000000,1.28e-05,0.9912
10,peft_single,0.485323,0.352975,0.264697,0.000000,0.000000,0.000000,0.000000,0.000000,1.40e-05,0.8399
11,peft_single,0.488942,0.356383,0.265119,0.000000,0.000000,0.000000,0.000000,0.000000,1.51e-05,0.8148
12,peft_single,0.487954,0.355050,0.265808,0.000000,0.000000,0.000000,0.000000,0.000000,1.63e-05,0.8505
13,peft_single,0.494753,0.360653,0.268201,0.000000,0.000000,0.000000,0.000000,0.000000,1.74e-05,1.1403
14,peft_single,0.488725,0.356042,0.265366,0.000000,0.000000,0.000000,0.000000,0.000000,1.86e-05,0.7957
15,peft_single,0.491540,0.358312,0.266457,0.000000,0.000000,0.000000,0.000000,0.000000,1.98e-05,0.8532
16,peft_single,0.497697,0.363800,0.267793,0.000000,0.000000,0.000000,0.000000,0.000000,2.09e-05,0.7704
17,peft_single,0.495127,0.361021,0.268213,0.000000,0.000000,0.000000,0.000000,0.000000,2.21e-05,0.5909
18,peft_single,0.484344,0.351752,0.265185,0.000000,0.000000,0.000000,0.000000,0.000000,2.33e-05,1.0671
19,peft_single,0.486120,0.353497,0.265247,0.000000,0.000000,0.000000,0.000000,0.000000,2.44e-05,0.7491
20,peft_single,0.481521,0.351005,0.261033,0.000000,0.000000,0.000000,0.000000,0.000000,2.56e-05,0.8199
21,peft_single,0.490104,0.356882,0.266443,0.000000,0.000000,0.000000,0.000000,0.000000,2.67e-05,0.8615
22,peft_single,0.482521,0.351920,0.261201,0.000000,0.000000,0.000000,0.000000,0.000000,2.79e-05,0.6413
23,peft_single,0.475318,0.346574,0.257487,0.000000,0.000000,0.000000,0.000000,0.000000,2.91e-05,0.6619
24,peft_single,0.479881,0.347754,0.264254,0.000000,0.000000,0.000000,0.000000,0.000000,3.02e-05,0.6406
25,peft_single,0.478878,0.348296,0.261163,0.000000,0.000000,0.000000,0.000000,0.000000,3.14e-05,0.9834
26,peft_single,0.478345,0.348325,0.260041,0.000000,0.000000,0.000000,0.000000,0.000000,3.26e-05,0.9815
27,peft_single,0.484393,0.353663,0.261460,0.000000,0.000000,0.000000,0.000000,0.000000,3.37e-05,0.8406
28,peft_single,0.478126,0.347849,0.260554,0.000000,0.000000,0.000000,0.000000,0.000000,3.49e-05,0.5892
29,peft_single,0.475100,0.346976,0.256249,0.000000,0.000000,0.000000,0.000000,0.000000,3.60e-05,0.9835
30,peft_single,0.475147,0.347508,0.255278,0.000000,0.000000,0.000000,0.000000,0.000000,3.72e-05,0.9082
31,peft_single,0.476058,0.347074,0.257969,0.000000,0.000000,0.000000,0.000000,0.000000,3.84e-05,0.5682
32,peft_single,0.478211,0.349722,0.256977,0.000000,0.000000,0.000000,0.000000,0.000000,3.95e-05,0.5658
33,peft_single,0.471440,0.343655,0.255572,0.000000,0.000000,0.000000,0.000000,0.000000,4.07e-05,0.5886
34,peft_single,0.476033,0.347199,0.257667,0.000000,0.000000,0.000000,0.000000,0.000000,4.19e-05,0.6281
35,peft_single,0.477280,0.349758,0.255045,0.000000,0.000000,0.000000,0.000000,0.000000,4.30e-05,0.6122
36,peft_single,0.482959,0.351944,0.262030,0.000000,0.000000,0.000000,0.000000,0.000000,4.42e-05,0.5668
37,peft_single,0.477988,0.348148,0.259679,0.000000,0.000000,0.000000,0.000000,0.000000,4.53e-05,0.6298
38,peft_single,0.473902,0.345772,0.256260,0.000000,0.000000,0.000000,0.000000,0.000000,4.65e-05,0.5380
39,peft_single,0.467177,0.342104,0.250146,0.000000,0.000000,0.000000,0.000000,0.000000,4.77e-05,0.5317
40,peft_single,0.467002,0.340357,0.253291,0.000000,0.000000,0.000000,0.000000,0.000000,4.88e-05,0.5082
41,peft_single,0.476595,0.348917,0.255356,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6299
42,peft_single,0.467490,0.342902,0.249177,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6820
43,peft_single,0.473524,0.346444,0.254162,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6190
44,peft_single,0.471003,0.344992,0.252021,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4611
45,peft_single,0.463477,0.339026,0.248901,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6003
46,peft_single,0.468540,0.343864,0.249352,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5100
47,peft_single,0.462376,0.338360,0.248032,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6061
48,peft_single,0.462387,0.339397,0.245980,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6278
49,peft_single,0.459934,0.337485,0.244899,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4363
50,peft_single,0.453558,0.331952,0.243213,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4997
51,peft_single,0.460881,0.336580,0.248601,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6346
52,peft_single,0.463413,0.341221,0.244384,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5694
53,peft_single,0.465418,0.341045,0.248747,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4222
54,peft_single,0.468545,0.344993,0.247105,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7826
55,peft_single,0.467747,0.342865,0.249764,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6304
56,peft_single,0.465837,0.340736,0.250201,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4358
57,peft_single,0.464826,0.342328,0.244995,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5835
58,peft_single,0.447980,0.328501,0.238957,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6171
59,peft_single,0.454272,0.331877,0.244789,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4091
60,peft_single,0.463407,0.340272,0.246271,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6155
61,peft_single,0.452745,0.331163,0.243163,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4159
62,peft_single,0.463197,0.340263,0.245868,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5822
63,peft_single,0.460067,0.338071,0.243993,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4522
64,peft_single,0.460791,0.339528,0.242526,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3801
65,peft_single,0.459234,0.337744,0.242980,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5836
66,peft_single,0.456767,0.335660,0.242213,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5119
67,peft_single,0.459977,0.338764,0.242426,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4947
